Seq,SOURCEID,RAdeg,DEdeg,e_Pos,RA,DEC,YAPERMAG3,J_1APERMAG3,HAPERMAG3,KAPERMAG3
3054,433830831943,17.034,0.077,3.7,17.03367823536364,0.07535785228727483,20.077404022216797,,,
3054,433832593732,17.034,0.077,3.7,17.035352417899393,0.0775430281529348,,19.718456268310547,,
3055,433834306220,17.037,-0.259,3.6,17.03657689443768,-0.25883303164797883,19.49555015563965,19.420711517333984,,17.643997192382812
3056,433829079774,17.044,0.299,2.9,17.04388935391408,0.298881953469416,19.45280647277832,19.37131118774414,18.681089401245117,18.027441024780273
3057,433830831982,17.046,0.159,2.6,17.04587118559919,0.15920760237129122,19.27046775817871,19.34223747253418,18.728994369506836,17.60866928100586
3059,433830831988,17.048,0.089,3.1,17.047961980734758,0.08954984332895821,19.386184692382812,18.73978042602539,17.9591121673584,17.53768539428711
3061,433832593578,17.05,-0.088,3.1,17.04995635228813,-0.0878592764362097,18.97408103942871,18.433692932128906,18.35358238220215,17.31829261779785
3062,433836312155,17.051,-0.393,1.5,17.051070430693315,-0.3925975071072356,17.68426513671875,17.239633560180664,16.5201473236084,15.833717346191406
3063,433832593212,17.054,0.049,3.6,17.054493673567336,0.04923342945684178,19.694988250732422,19.30767250061035,18.539173126220703,17.679553985595703
3065,433836312171,17.058,-0.432,2.8,17.059542423203823,-0.432090658458842,20.12639617919922,19.41017723083496,,
3065,433836312687,17.058,-0.432,2.8,17.058638444048356,-0.4319579322130683,,,18.742555618286133,17.48690414428711
3067,433834306312,17.063,-0.301,4.1,17.06389095231995,-0.3007483291705125,18.81411361694336,18.529926300048828,18.030794143676758,17.520599365234375
3068,433830832020,17.064,0.119,2.0,17.063604325638302,0.11910821051691885,18.041988372802734,17.729660034179688,17.330188751220703,16.39944076538086
3070,433834306340,17.094,-0.315,2.7,17.09379541521473,-0.314549421357215,19.63303565979004,19.068363189697266,18.343677520751953,17.510066986083984
3071,433830832074,17.094,0.196,2.4,17.094626772121305,0.19537896337965818,18.039640426635742,17.455293655395508,16.673370361328125,16.10039520263672
3072,433830832091,17.097,0.089,3.0,17.096859169640698,0.08984578165447225,14.860532760620117,14.323408126831055,13.633346557617188,13.30884075164795
3073,433830832088,17.099,0.214,3.1,17.098571949666173,0.21372459408507483,20.074705123901367,19.37415313720703,,17.93073081970215
3075,433830832123,17.111,0.117,2.9,17.112230469576822,0.11700101398792147,20.252336502075195,,,18.23773765563965
3076,433832593350,17.117,0.004,3.3,17.117423581196512,0.003930014372421316,18.068693161010742,17.966596603393555,17.30490493774414,16.509742736816406
3078,433832593206,17.119,0.051,1.7,17.11902844213012,0.05153196250114465,18.524621963500977,18.52468490600586,17.72063636779785,17.055824279785156
3085,433832593711,17.155,-0.145,4.0,17.15523809048286,-0.1440472272957124,19.272857666015625,18.507234573364258,17.393226623535156,16.60773277282715
3087,433832593816,17.163,0.054,3.4,17.164009105748903,0.05328752631957205,,,,17.712482452392578
3088,433836312663,17.173,-0.385,3.2,17.17268533285146,-0.3845914312719165,,19.447433471679688,,17.45887565612793
3089,433834305977,17.173,-0.168,6.8,17.172440664098033,-0.16746913289793727,17.550138473510742,17.408937454223633,16.965383529663086,16.55568504333496
3091,433832593523,17.178,-0.068,4.0,17.179237232243104,-0.069087033569731,12.676904678344727,12.453022956848145,12.191642761230469,12.15109920501709
3092,433834306346,17.182,-0.317,0.9,17.182099579441182,-0.31667077815582845,17.785018920898438,17.23244285583496,16.498064041137695,15.819147109985352
3093,433832593531,17.188,-0.074,3.0,17.187946480706735,-0.07271522420947171,16.143035888671875,15.691274642944336,15.115777015686035,14.89484977722168
3098,433830832312,17.196,0.289,3.2,17.196738969880016,0.2892644193599983,20.10637855529785,,18.60317611694336,
3099,433836312492,17.198,-0.54,1.4,17.19863307517709,-0.5396412994911849,18.43535804748535,17.9360408782959,17.209091186523438,16.378633499145508
3101,433836312501,17.202,-0.553,2.9,17.202421623755022,-0.5519815095985441,19.48451805114746,18.903066635131836,18.17708396911621,17.437320709228516
3102,433832593215,17.203,0.047,3.0,17.203029003644936,0.04756648132225033,19.348249435424805,18.750030517578125,18.089208602905273,17.20863914489746
3105,433832593366,17.207,-0.001,2.0,17.206790283665175,-0.000558433995284131,11.344319343566895,11.143462181091309,11.064177513122559,10.877906799316406
3106,433832593564,17.212,-0.085,2.7,17.212597221077377,-0.08401872802200068,18.893932342529297,18.30671501159668,17.430112838745117,16.769420623779297
3109,433829080250,17.225,0.343,3.8,17.225862869306315,0.3430687954664733,19.05098533630371,18.365922927856445,17.518558502197266,16.718536376953125
3110,433832593263,17.238,0.031,3.0,17.236405783749078,0.03187057488114305,13.41900634765625,13.22054672241211,12.92540454864502,12.918034553527832
3111,433830832400,17.238,0.164,2.3,17.23852704121201,0.16464955952806976,13.045062065124512,12.760714530944824,12.386195182800293,12.292104721069336
3117,433836312601,17.244,-0.409,3.0,17.24487362536376,-0.4087713515122871,20.002840042114258,19.40169334411621,,
3140,433836020066,17.316,-0.378,2.3,17.315843340331778,-0.3777908301891291,18.867340087890625,18.503971099853516,18.119298934936523,17.307119369506836
3142,433836019772,17.318,-0.535,4.3,17.316624478149375,-0.5346048709712793,18.354232788085938,17.9251708984375,17.771848678588867,17.18828582763672
3146,433836020240,17.345,-0.451,2.9,17.345017474100686,-0.45028940798235706,,,,17.509889602661133
3147,433836019944,17.345,-0.44,2.5,17.344889331458063,-0.43918386369893175,18.88882827758789,18.405305862426758,17.688222885131836,16.693689346313477
3164,433836892755,17.437,-0.596,1.7,17.437825927363697,-0.5956718715919709,17.824121475219727,17.28044319152832,16.529939651489258,15.678014755249023
3168,433836019964,17.449,-0.431,2.7,17.449891916645125,-0.4308040843559994,19.049802780151367,19.241527557373047,18.05290985107422,17.42320442199707
3171,433828771274,17.459,0.392,1.1,17.45869875685898,0.3924278736926493,17.711305618286133,17.171283721923828,16.462425231933594,15.571513175964355
3173,433834276925,17.462,-0.328,2.1,17.463535289696818,-0.32824877397890845,19.67136573791504,19.281129837036133,,
3175,433832502359,17.465,0.046,2.8,17.463969904325086,0.04625854216624119,16.633316040039062,16.06849479675293,15.316167831420898,14.799246788024902
3177,433830541179,17.468,0.114,3.6,17.468264317257987,0.11482807188663116,19.536136627197266,,,
3179,433828771444,17.483,0.484,3.5,17.483007265440385,0.483653694573257,18.457679748535156,17.908931732177734,16.964763641357422,16.16458511352539
3180,433828771491,17.495,0.505,3.6,17.495617296601303,0.5052750950570302,14.937806129455566,14.652888298034668,14.246795654296875,14.18576431274414
3182,433830541639,17.499,0.124,2.9,17.499442863152925,0.12466534557236779,,,,17.94923210144043
3183,433834276846,17.504,-0.309,2.5,17.503867673934025,-0.3081600610759912,19.83995246887207,19.29452133178711,18.418275833129883,17.430927276611328
3187,433830541332,17.51,0.2,2.6,17.51007978382062,0.20006170275879728,18.50627326965332,17.89640235900879,17.57941246032715,16.788860321044922
3189,433830541441,17.515,0.246,2.4,17.515470559302784,0.246399440934669,19.115596771240234,18.475873947143555,17.508365631103516,16.763227462768555
3191,433836016851,17.534,-0.583,4.3,17.53354818108434,-0.5846864073747566,16.43988037109375,15.960701942443848,15.294520378112793,14.819191932678223
3194,433832502185,17.551,-0.133,1.9,17.55068014501743,-0.1323353467910548,18.731046676635742,18.441465377807617,17.44263458251953,16.49309539794922
3196,433834276641,17.601,-0.262,2.8,17.60205437839883,-0.26216407128096725,18.203126907348633,17.996183395385742,17.45860481262207,16.83864402770996
3197,433836017195,17.606,-0.392,2.7,17.606450243487245,-0.3918489819553808,20.02159881591797,,18.265501022338867,17.9332332611084
3199,433836017331,17.617,-0.424,2.2,17.61742433082375,-0.4237161742085696,,,18.477874755859375,18.15944480895996
3200,433832502010,17.62,-0.052,3.1,17.619931253465484,-0.05104111949214761,18.795665740966797,18.263357162475586,17.367328643798828,16.63507843017578
3201,433836017143,17.623,-0.422,2.6,17.623537231498233,-0.4213937097041422,18.969833374023438,18.113525390625,17.753738403320312,16.767032623291016
3202,433834276562,17.627,-0.264,4.2,17.625981321386128,-0.26273008014615135,19.333837509155273,18.46930694580078,17.815011978149414,17.262514114379883
3204,433834276545,17.632,-0.27,3.9,17.632076143010288,-0.2693065800405074,20.448564529418945,,,
3206,433836017112,17.632,-0.437,2.8,17.631956413183982,-0.4371178092043993,17.00675392150879,16.468170166015625,15.674405097961426,15.122426986694336
3209,433830541244,17.639,0.142,1.8,17.639379698357647,0.1419580106757682,18.108896255493164,17.673206329345703,17.082395553588867,16.200002670288086
3210,433830541294,17.639,0.174,2.9,17.638910486373568,0.17324220845175833,20.236082077026367,,,
3211,433832501961,17.645,0.042,2.6,17.64495709094958,0.041831253051915776,18.55710792541504,18.661386489868164,17.485519409179688,16.607582092285156
3212,433832501948,17.65,0.049,2.5,17.64977329745926,0.04908785891539621,19.256999969482422,18.4981689453125,18.0697078704834,17.357810974121094
3214,433836017075,17.655,-0.463,2.8,17.655906253172816,-0.46162182111236943,18.25845718383789,17.81491470336914,16.908300399780273,16.73130989074707
3215,433830541218,17.659,0.132,2.0,17.659163640313512,0.13200898020952412,19.479957580566406,18.910913467407227,18.152576446533203,
3216,433832501931,17.66,0.043,2.3,17.660168911087577,0.04364384240593374,19.601200103759766,19.211347579956055,18.096214294433594,17.48129653930664
3219,433836017162,17.667,-0.41,1.7,17.66723691982026,-0.4094434048681368,19.103532791137695,18.536563873291016,17.63835906982422,16.859872817993164
3220,433832502452,17.671,0.011,3.5,17.67043636733389,0.011024401549140235,,,,17.84684944152832
3223,433832501896,17.675,0.049,2.3,17.67454981806146,0.04923381331142596,18.06768798828125,17.406564712524414,16.517900466918945,15.949433326721191
3233,433836332625,17.714,-0.45,2.7,17.715110731154383,-0.4495613483072654,19.39077377319336,18.768774032592773,17.80988883972168,17.14777946472168
